,text,annoations
0,Atouts Compétences managériales et communicationnelles Dynamisme et Teamwork,"[(7, 31, 'SKILL'), (35, 54, 'SKILL'), (55, 64, 'SKILL'), (68, 76, 'SKILL')]"
1,SKILLS AND ABILITIES Good communication skills Reliable and professional Organized Good time management skills Team player Dedicated Fast learner Motivated Hard worker,"[(21, 39, 'SKILL'), (47, 55, 'SKILL'), (111, 122, 'SKILL'), (133, 145, 'SKILL'), (156, 167, 'SKILL'), (60, 82, 'SKILL'), (83, 103, 'SKILL'), (123, 132, 'SKILL'), (146, 155, 'SKILL')]"
2,"Sérieux, sociable, travailleur, disponible, dynamique, ayant un fort désir d apprendre.","[(0, 7, 'SKILL'), (9, 17, 'SKILL'), (19, 30, 'SKILL'), (32, 42, 'SKILL'), (44, 53, 'SKILL'), (61, 86, 'SKILL')]"
3,Personal skills 3 Interests 2 Two years experience in ICT. Adaptability and Innovation. Ability to speak with passion and confidence in public speaking. Sport Men physique. Innovation Interested by the robots that interacts with its surroundings.,"[(59, 71, 'SKILL'), (76, 86, 'SKILL'), (88, 132, 'SKILL'), (136, 151, 'SKILL'), (173, 183, 'SKILL')]"
4,COMPETENCES Prise d'initiatives et résolution de problèmes. Facilité d'adaptation et d'apprentissage. Aptitude à travailler en équipe.,"[(12, 31, 'SKILL'), (35, 58, 'SKILL'), (60, 100, 'SKILL'), (102, 133, 'SKILL')]"
5,QUALITÉS Sérieux Relationnel Communication,"[(9, 16, 'SKILL'), (17, 28, 'SKILL'), (29, 42, 'SKILL')]"
6,"Polyvalente, dynamique avec forte capacité de travail .","[(0, 11, 'SKILL'), (13, 22, 'SKILL'), (28, 53, 'SKILL')]"
7,Atouts personnels Travail en groupe et travail professionnelle Sens de responsabilité et ècoute active Esprit de responsabilitè et d èquipe Sens de crèativitè Dynamique Sérieux,"[(18, 35, 'SKILL'), (39, 62, 'SKILL'), (63, 85, 'SKILL'), (89, 102, 'SKILL'), (103, 139, 'SKILL'), (140, 158, 'SKILL'), (159, 168, 'SKILL'), (169, 176, 'SKILL')]"
8,QUALITÉS CRÉATIVITÉ PASSION INITIATIVE MOTIVATION,"[(9, 19, 'SKILL'), (39, 49, 'SKILL'), (20, 27, 'SKILL'), (28, 38, 'SKILL')]"
9,Atouts - Facilité de communication. - Capacité d adaptation. - Esprit d initiative. - Esprit travail en équipe. - Sens de responsabilité. - Sociabilité.,"[(9, 34, 'SKILL'), (38, 59, 'SKILL'), (63, 82, 'SKILL'), (114, 136, 'SKILL'), (140, 151, 'SKILL'), (86, 110, 'SKILL')]"
10,tout Aidant Accessible Créatif Déterminé Curieux Passionné par les nouvelles technologies,"[(12, 22, 'SKILL'), (23, 30, 'SKILL'), (31, 40, 'SKILL'), (41, 48, 'SKILL'), (49, 89, 'SKILL')]"
11,Aptitudes Professionnelles Esprit de travail en Groupe/La Pertinence/L abnégation/La Rigueur Sens de responsabilité. Facilité d adaptation et d intégration. réaliser les missions et être disponible pour les t ches qui m a sont confiées,"[(27, 54, 'SKILL'), (93, 115, 'SKILL'), (55, 68, 'SKILL'), (69, 81, 'SKILL'), (82, 92, 'SKILL'), (117, 155, 'SKILL')]"
12,QUALITES HUMAINES Sens relationnel Sens de l écoute Sens de l éthique Confiance en soi,"[(18, 34, 'SKILL'), (35, 51, 'SKILL'), (52, 69, 'SKILL'), (70, 86, 'SKILL')]"
13,QUALITÉS Capacité d apprentissage Facilité d intégration Esprit d'équipe Calme,"[(9, 33, 'SKILL'), (34, 56, 'SKILL'), (57, 72, 'SKILL'), (73, 78, 'SKILL')]"
14,ATOUTS PERSONNELS Créativité Originalité Interactivité Organisation,"[(18, 28, 'SKILL'), (29, 40, 'SKILL'), (41, 54, 'SKILL'), (55, 67, 'SKILL')]"
15,QUALITÉS PERSONNELLES Flexibilité Capacité d adaptation Sens de responsabilité et d initiative L esprit d équipe,"[(22, 33, 'SKILL'), (34, 55, 'SKILL'), (56, 94, 'SKILL'), (97, 112, 'SKILL')]"
16,"Compétences Motivé, dynamique, esprit d équipe , Flexibilité et sens de la responsabilité .","[(12, 18, 'SKILL'), (20, 29, 'SKILL'), (31, 46, 'SKILL'), (49, 60, 'SKILL'), (64, 89, 'SKILL')]"
17,Atouts Motivation Adaptable Autonomie Esprit d'équipe,"[(7, 17, 'SKILL'), (18, 27, 'SKILL'), (28, 37, 'SKILL'), (38, 53, 'SKILL')]"
18,COMPETENCES Prise d'initiatives et résolution de problèmes Facilité d'adaptation et d'apprentissage Aptitude à travailler enéquipe,"[(12, 31, 'SKILL'), (35, 58, 'SKILL'), (59, 99, 'SKILL'), (100, 130, 'SKILL')]"
19,Atouts - Autonome - Dynamique - Travail en équipe - Capacité d adaptation,"[(9, 17, 'SKILL'), (20, 29, 'SKILL'), (32, 49, 'SKILL'), (52, 73, 'SKILL')]"
20,"Ambitieux, sérieux, dynamique, esprit d équipe, Sens de responsabilité.","[(0, 9, 'SKILL'), (11, 18, 'SKILL'), (20, 29, 'SKILL'), (31, 46, 'SKILL'), (48, 70, 'SKILL')]"
21,Atouts Implication Esprit de l'équipe Motivation,"[(7, 18, 'SKILL'), (19, 37, 'SKILL'), (38, 48, 'SKILL')]"
22,"Dynamique, Bon relationnel et Esprit d équipe","[(0, 9, 'SKILL'), (11, 26, 'SKILL'), (30, 45, 'SKILL')]"
23,Les compétences comportementales Esprit d équipe. Le sens de responsabilité. Polyvalence. Ambitieux. Capacité d autoformation.,"[(33, 48, 'SKILL'), (77, 88, 'SKILL'), (90, 99, 'SKILL'), (101, 125, 'SKILL'), (50, 75, 'SKILL')]"
24,Sociable Organisée Avertie,"[(0, 8, 'SKILL'), (9, 18, 'SKILL'), (19, 26, 'SKILL')]"
25,Capacité d analyse et de synthèse Connaissances des produits financiers.,"[(34, 71, 'SKILL'), (0, 33, 'SKILL')]"
26,Résistance au stresse. Esprit d équipe. Le sens d adaptation et d écoute Sens du relationnel,"[(0, 21, 'SKILL'), (23, 38, 'SKILL'), (73, 92, 'SKILL'), (43, 72, 'SKILL')]"
27,COMPETENCES Esprit d équipe,"[(12, 27, 'SKILL')]"
28,ATOUTS Esprit d'équipe Esprit d'analyse Rapidité d'adaptation Sens de Challenge,"[(7, 22, 'SKILL'), (23, 39, 'SKILL'), (40, 61, 'SKILL'), (62, 79, 'SKILL')]"
29,"Possibilité de travailler individuellement ou en équipe, et Bon sens d organisation. Capacité de suivre des instructions complexes. Bonne gestion de temps et des priorités. Respect des deadlines. Capacité d autoformation","[(0, 55, 'SKILL'), (60, 83, 'SKILL'), (85, 130, 'SKILL'), (132, 171, 'SKILL'), (173, 194, 'SKILL'), (196, 220, 'SKILL')]"
30,QUALITESPERSONNELLES Dynamisme. Gestion du stress. Prise de l initiative. Ponctuel. Responsable. Sens de créativité.,"[(21, 30, 'SKILL'), (32, 49, 'SKILL'), (51, 72, 'SKILL'), (74, 82, 'SKILL'), (84, 95, 'SKILL'), (97, 115, 'SKILL')]"
31,"Rédaction des rapports, comptes rendus Adaptation à tout outil informatique Travail d équipe et adaptation aux conditions de travail.","[(0, 22, 'SKILL'), (24, 38, 'SKILL'), (39, 75, 'SKILL'), (76, 92, 'SKILL'), (96, 132, 'SKILL')]"
32,"DOCTEUR ET INGENIEUR EN INFORMATIQUE Dynamique, Bon Relationnel et Esprit d équipe","[(37, 46, 'SKILL'), (48, 63, 'SKILL'), (67, 82, 'SKILL')]"
33,COMPETENCES PROFESSIONNELLES Le Sens de la responsabilité L Aisance relationnelle La Maitrise des techniques de management L esprit d équipe La gestion des conflits La Maîtrise des techniques de vente La Maîtrise des techniques de prospection commerciale,"[(32, 57, 'SKILL'), (60, 81, 'SKILL'), (125, 140, 'SKILL'), (144, 164, 'SKILL'), (168, 200, 'SKILL'), (204, 254, 'SKILL'), (85, 122, 'SKILL')]"
34,"QUALITES PERSONNELLES ET CENTRES D INTERETS Curieux Sociable Sérieux Responsable Motivé, et doté d un important sens d écoute. Loisirs Football Billard Chasse et pêche Lecture Randonnés","[(44, 51, 'SKILL'), (52, 60, 'SKILL'), (61, 68, 'SKILL'), (69, 80, 'SKILL'), (81, 87, 'SKILL'), (92, 125, 'SKILL')]"
35,ATOUTS Enthousiasme Polyvalence Esprit d'équipe,"[(7, 19, 'SKILL'), (20, 31, 'SKILL'), (32, 47, 'SKILL')]"
36,COMPÉTENCES PERSO Apprentissage Rapide Autonome Travail en équipe Organisation Flexibilité Professionnalisme Responsabilité Multi Tasking Travailler sous pression,"[(18, 38, 'SKILL'), (39, 47, 'SKILL'), (48, 65, 'SKILL'), (66, 78, 'SKILL'), (79, 90, 'SKILL'), (91, 108, 'SKILL'), (109, 123, 'SKILL'), (124, 137, 'SKILL'), (138, 162, 'SKILL')]"
37,COMPÉTENCES Leadership Administration des affaires Communication Gestion des T ches Gestion des Risques Négociation Organisation personnelle Gestion des Co ts Pensée Critique Travail d équipe Quality Management,"[(12, 22, 'SKILL'), (23, 50, 'SKILL'), (51, 64, 'SKILL'), (65, 83, 'SKILL'), (84, 103, 'SKILL'), (104, 115, 'SKILL'), (116, 140, 'SKILL'), (141, 158, 'SKILL'), (159, 174, 'SKILL'), (175, 191, 'SKILL'), (192, 210, 'SKILL')]"
38,Atouts Esprit d équipe Innovateur Prévoyant Curieux Autonome Dynamique,"[(7, 22, 'SKILL'), (23, 33, 'SKILL'), (34, 43, 'SKILL'), (44, 51, 'SKILL'), (52, 60, 'SKILL'), (61, 70, 'SKILL')]"
39,- Control System PERSONAL SKILLS Sociability Creativity Curiosity Responsibility Organization,"[(2, 16, 'SKILL'), (33, 44, 'SKILL'), (45, 55, 'SKILL'), (56, 65, 'SKILL'), (81, 93, 'SKILL'), (66, 80, 'SKILL')]"
40,"DOMAINES DE COMPETENCE Bonne capacité de travail, mobilité géographique, bon sens d écoute. Esprit d initiative et travail en groupe. Rapidité d apprentissage et dynamique. Sociable, volontaire et patiente","[(50, 71, 'SKILL'), (73, 90, 'SKILL'), (92, 111, 'SKILL'), (115, 132, 'SKILL'), (134, 158, 'SKILL'), (162, 171, 'SKILL'), (173, 181, 'SKILL'), (183, 193, 'SKILL'), (23, 48, 'SKILL'), (197, 205, 'SKILL')]"
41,"Autoformation, Freelance Autonome, Capacité d adaptation, Esprit D équipe, Leadership, Motivé, Dynamique et Responsable","[(15, 24, 'SKILL'), (25, 33, 'SKILL'), (35, 56, 'SKILL'), (58, 73, 'SKILL'), (75, 85, 'SKILL'), (87, 93, 'SKILL'), (95, 104, 'SKILL'), (108, 119, 'SKILL')]"
42,PERSONALLITE Créative Sens de l écoute Sérieuse,"[(13, 21, 'SKILL'), (22, 38, 'SKILL'), (39, 47, 'SKILL')]"
43,Personnelles Esprit d équipe Organisée Responsable,"[(39, 50, 'SKILL'), (13, 28, 'SKILL'), (29, 38, 'SKILL')]"
44,Atouts Travail d'équipe Rigueur Attention aux détails Responsabilité,"[(7, 23, 'SKILL'), (24, 31, 'SKILL'), (32, 53, 'SKILL'), (54, 68, 'SKILL')]"
45,Personalité Sens de l écoute Sérieux Leadership,"[(12, 28, 'SKILL'), (37, 47, 'SKILL'), (29, 36, 'SKILL')]"
46,"Profil Rigueur, Sens de responsabilité Esprit de l initiative, Réactivité, Courtoisie Aisance relationnelle, Facilité d adaptation.","[(7, 14, 'SKILL'), (16, 38, 'SKILL'), (39, 61, 'SKILL'), (63, 73, 'SKILL'), (75, 85, 'SKILL'), (86, 107, 'SKILL'), (109, 130, 'SKILL')]"
47,Créatif Innovant Sérieux Esprit d'équipe,"[(25, 40, 'SKILL'), (0, 7, 'SKILL'), (8, 16, 'SKILL'), (17, 24, 'SKILL')]"
48,COMPETENCES Esprit d Analyse Esprit de synthèse Esprit critique,"[(12, 28, 'SKILL'), (29, 47, 'SKILL'), (48, 63, 'SKILL')]"
49,COMPÉTENCES PERSONNELLES Créativité Motivation Web Design Organisation Travail en équipe,"[(25, 35, 'SKILL'), (36, 46, 'SKILL'), (47, 57, 'SKILL'), (58, 70, 'SKILL'), (71, 88, 'SKILL')]"
50,Atouts - Facilité de communication. - Capacité d adaptation. - Esprit d initiative. - Esprit travail en équipe. - Sens de responsabilité. - Sociabilité.,"[(9, 34, 'SKILL'), (38, 59, 'SKILL'), (63, 82, 'SKILL'), (114, 136, 'SKILL'), (140, 151, 'SKILL'), (86, 110, 'SKILL')]"
51,Prof ile Analyse Curiosité Créativité Communication WordPress Self-motivation,"[(9, 16, 'SKILL'), (17, 26, 'SKILL'), (27, 37, 'SKILL'), (38, 51, 'SKILL'), (52, 61, 'SKILL'), (62, 77, 'SKILL')]"
52,PERSONNALITÉ Créativité Communication Sérieux Sens del écoute,"[(13, 23, 'SKILL'), (24, 37, 'SKILL'), (46, 61, 'SKILL'), (38, 45, 'SKILL')]"
53,Sens du management goût pour le travail en équipe,"[(0, 18, 'SKILL'), (19, 49, 'SKILL')]"
54,Atouts Team leader Autodidacte Problem solver,"[(7, 18, 'SKILL'), (19, 30, 'SKILL'), (31, 45, 'SKILL')]"
55,"Les qualités relationnelles La rigueur, la polyvalence, le dynamisme, le sens d organisation et l esprit d équipe.","[(98, 113, 'SKILL'), (28, 38, 'SKILL'), (40, 54, 'SKILL'), (56, 68, 'SKILL'), (70, 92, 'SKILL')]"
56,Qualités Professionnelles Ecoute et négociation Orientation client Travail en équipe Communication Esprit d'initiative,"[(26, 32, 'SKILL'), (36, 47, 'SKILL'), (48, 66, 'SKILL'), (67, 84, 'SKILL'), (85, 98, 'SKILL'), (99, 118, 'SKILL')]"
57,COMPÉTENCE PERSONNEL Sociabilité Créativité Curieusité Responsabilité Organisation,"[(21, 32, 'SKILL'), (33, 43, 'SKILL'), (44, 54, 'SKILL'), (55, 69, 'SKILL'), (70, 82, 'SKILL')]"
58,PERSONAL SKILLS Sociability Creativity Curiosity Responsibility Organization,"[(16, 27, 'SKILL'), (28, 38, 'SKILL'), (39, 48, 'SKILL'), (49, 76, 'SKILL')]"
59,Personnalité Curieux Ambitieux Sens du contact,"[(31, 46, 'SKILL'), (13, 20, 'SKILL'), (21, 30, 'SKILL')]"
60,Personnalité Créative Leader Sens de l écoute Sérieuse,"[(13, 21, 'SKILL'), (22, 28, 'SKILL'), (29, 45, 'SKILL'), (46, 54, 'SKILL')]"
61,Compétenc Curieux Esprit créatif Fléxible,"[(10, 17, 'SKILL'), (18, 32, 'SKILL'), (33, 41, 'SKILL')]"
62,Compétenc Curieux Esprit créatif Fléxible,"[(10, 17, 'SKILL'), (18, 32, 'SKILL'), (33, 41, 'SKILL')]"
63,QUALITES Discipline Persévérance Motivation Créativité Esprit d équipe Organisation,"[(9, 19, 'SKILL'), (20, 32, 'SKILL'), (33, 43, 'SKILL'), (44, 54, 'SKILL'), (55, 70, 'SKILL'), (71, 83, 'SKILL')]"
64,"Atouts Mon Atout de Capacité à travailler en équipe tout en Personnalité faisant preuve d autonomie. Curieux veille technologique, formations, projets personnels .","[(109, 129, 'SKILL'), (20, 51, 'SKILL'), (90, 99, 'SKILL'), (101, 108, 'SKILL'), (131, 141, 'SKILL'), (143, 161, 'SKILL')]"
65,"PERSONNALITE - Esprit d analyse et de synthèse - Esprit d équipe et communicatif - Ponctuel, organisé et impliqué","[(49, 64, 'SKILL'), (68, 80, 'SKILL'), (83, 91, 'SKILL'), (93, 101, 'SKILL'), (15, 46, 'SKILL'), (105, 113, 'SKILL')]"
66,"ATOUTS Résponsabilité , Organisation, Créativité ,Sérieux","[(7, 21, 'SKILL'), (24, 36, 'SKILL'), (38, 48, 'SKILL'), (50, 57, 'SKILL')]"
67,"Atouts Esprit d'équipe , Actif , Motivé , Volontaire","[(7, 22, 'SKILL'), (25, 30, 'SKILL'), (33, 39, 'SKILL'), (42, 52, 'SKILL')]"
68,"ATOUTS Autonome, Ambitieux Bon relationnel Responsable, Serviable","[(27, 42, 'SKILL'), (43, 54, 'SKILL'), (7, 15, 'SKILL'), (17, 26, 'SKILL'), (56, 65, 'SKILL')]"
69,QUALITES Organisation Ponctualité Esprit d équipe,"[(9, 21, 'SKILL'), (22, 33, 'SKILL'), (34, 49, 'SKILL')]"
70,COMPÉTENCES Communication Travail en équipe Résolution des problems Ponctualité,"[(12, 25, 'SKILL'), (26, 43, 'SKILL'), (44, 67, 'SKILL'), (68, 79, 'SKILL')]"
71,Travail en équipe Aisance relationnelle Capacité d adaptation Motivation,"[(0, 17, 'SKILL'), (18, 39, 'SKILL'), (40, 61, 'SKILL'), (62, 72, 'SKILL')]"
72,"Compétences Motivé, dynamique, esprit d équipe, Flexibilité et sens de la responsabilité.","[(12, 18, 'SKILL'), (20, 29, 'SKILL'), (31, 46, 'SKILL'), (48, 59, 'SKILL'), (63, 88, 'SKILL')]"
73,Sens du contact et de la communication,"[(0, 15, 'SKILL'), (22, 38, 'SKILL')]"
74,PERSONNALITÉ Adaptatitive Polyvalante Serieuse Responsable Organisation,"[(13, 25, 'SKILL'), (26, 37, 'SKILL'), (38, 46, 'SKILL'), (47, 58, 'SKILL'), (59, 71, 'SKILL')]"
75,PERSONNALITE Leader Créatif Organisé Manager Ponctuel,"[(13, 19, 'SKILL'), (20, 27, 'SKILL'), (28, 36, 'SKILL'), (37, 44, 'SKILL'), (45, 53, 'SKILL')]"
76,PERSONAL COMPETENCE CREATIVITY REACTIVITY RELIABLE RIGOR,"[(20, 30, 'SKILL'), (31, 41, 'SKILL'), (42, 50, 'SKILL'), (51, 56, 'SKILL')]"
77,INFOS EN + Esprit d équipe Sens de responsabilité Motivation et flexibilité,"[(11, 26, 'SKILL'), (27, 49, 'SKILL'), (50, 60, 'SKILL'), (64, 75, 'SKILL')]"
78,PERSONNALITÉ Adaptatitive Polyvalante Serieuse Responsable Organisation,"[(13, 25, 'SKILL'), (26, 37, 'SKILL'), (38, 46, 'SKILL'), (47, 58, 'SKILL'), (59, 71, 'SKILL')]"
79,Aptitudes Aptitudes personnelles - Adaptation aux différences situations de travail. - Ésprit d'équipe. - Dynamique. Aptitudes techniaues - Code bien commenté. - Le respect des normes de codage.,"[(10, 32, 'SKILL'), (87, 102, 'SKILL'), (106, 115, 'SKILL'), (117, 137, 'SKILL'), (140, 158, 'SKILL'), (162, 193, 'SKILL'), (35, 83, 'SKILL')]"
80,Qualités Personnelles Créatif Innovant Agréable Marrant,"[(22, 29, 'SKILL'), (30, 38, 'SKILL'), (39, 47, 'SKILL'), (48, 55, 'SKILL')]"
81,COMPETENCES Sens de la responsabilité Dynamique Ponctuelle Esprit d équipe.,"[(12, 37, 'SKILL'), (38, 47, 'SKILL'), (48, 58, 'SKILL'), (59, 74, 'SKILL')]"
